brand,product,url,imgSrc,name,categories,specific,hex,lightness,in_india,R,G,B
Clinique,Even Better Makeup Broad Spectrum SPF 15,https://www.ulta.com/even-better-makeup-broad-spectrum-spf-15?productId=xlsImpprod10791919,https://images.ulta.com/is/image/Ulta/2206255sw?$tn$,alabaster,gem,CN 10,#F1C9AE,0.813725490196078,True,241,201,174
Maybelline,Fit Me Matte + Poreless Liquid Foundation,https://www.ulta.com/fit-me-matte-poreless-liquid-foundation?productId=xlsImpprod11861007,https://images.ulta.com/is/image/Ulta/2282907sw?$50px$,natural ivory,"skin, gem, color",112,#F6E2D5,0.9,True,246,226,213
Maybelline,Fit Me Dewy + Smooth Foundation,https://www.ulta.com/fit-me-dewy-smooth-foundation?productId=xlsImpprod2980151,https://images.ulta.com/is/image/Ulta/2260962sw?$50px$,mocha,drink,,#AB6633,0.435294117647059,True,171,102,51
Maybelline,Fit Me Dewy + Smooth Foundation,https://www.ulta.com/fit-me-dewy-smooth-foundation?productId=xlsImpprod2980151,https://images.ulta.com/is/image/Ulta/2225229?$sm$,medium buff,"descriptor, color",,#FDFCFB,0.988235294117647,True,253,252,251
Clinique,Even Better Makeup Broad Spectrum SPF 15,https://www.ulta.com/even-better-makeup-broad-spectrum-spf-15?productId=xlsImpprod10791919,https://images.ulta.com/is/image/Ulta/2533221sw?$50px$,shell,gem,CN 0.5,#F6E8DD,0.915686274509804,True,246,232,221
Clinique,Beyond Perfecting Powder Foundation + Concealer,https://www.ulta.com/beyond-perfecting-powder-foundation-concealer?productId=xlsImpprod12991071,https://images.ulta.com/is/image/Ulta/2291649sw?$50px$,ivory,"gem, color",06,#E5BD9F,0.76078431372549,True,229,189,159
Maybelline,Fit Me Matte + Poreless Liquid Foundation,https://www.ulta.com/fit-me-matte-poreless-liquid-foundation?productId=xlsImpprod11861007,https://images.ulta.com/is/image/Ulta/2282906sw?$tn$,porcelain,misc,110,#FEEDDB,0.927450980392157,True,254,237,219
Estée Lauder,Double Wear Stay-in-Place Makeup,https://www.ulta.com/double-wear-stay-in-place-makeup?productId=xlsImpprod14641507,https://images.ulta.com/is/image/Ulta/2309448sw?$50px$,sandalwood,wood,6W1,#8E663A,0.392156862745098,True,142,102,58
Clinique,Stay Matte Oil-Free Makeup,https://www.ulta.com/stay-matte-oil-free-makeup?productId=xlsImpprod10791929,https://images.ulta.com/is/image/Ulta/2247049sw?$50px$,cream caramel,food,WN 98,#C88852,0.552941176470588,True,200,136,82
Clinique,Stay Matte Oil-Free Makeup,https://www.ulta.com/stay-matte-oil-free-makeup?productId=xlsImpprod10791929,https://images.ulta.com/is/image/Ulta/2247055sw?$50px$,sienna,rock,WN 124,#845134,0.36078431372549,True,132,81,52
Clinique,Superpowder Double Face Makeup,https://www.ulta.com/superpowder-double-face-makeup?productId=xlsImpprod10791897,https://images.ulta.com/is/image/Ulta/2260622sw?$tn$,matte ivory,"misc, gem, color",,#EDC0A4,0.786274509803922,True,237,192,164
